#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
3796                 -         LSU_rRNA_archaea     RF02540    cm     2551     2673      123        1      - 5'&3'    4 0.46   0.0   71.2   3.1e-19 !   [C27297; 123bp]
3407                 -         LSU_rRNA_archaea     RF02540    cm     2530     2652      123        1      - 5'&3'    4 0.44   0.0   71.1   3.2e-19 !   [C32059; 123bp]
1890                 -         LSU_rRNA_archaea     RF02540    cm     2537     2659        1      123      + 5'&3'    4 0.47   0.0   71.0   3.6e-19 !   [C32883; 123bp]
2202                 -         LSU_rRNA_archaea     RF02540    cm     1954     2074        4      123      +    3'    4 0.47   0.0   70.8   4.1e-19 !   [C29219; 123bp]
2954                 -         LSU_rRNA_archaea     RF02540    cm     2016     2139      123        1      - 5'&3'    4 0.46   0.0   70.6   4.6e-19 !   [C31105; 123bp]
4015                 -         LSU_rRNA_archaea     RF02540    cm     1169     1287      120        2      -    5'    4 0.53   0.0   70.5     5e-19 !   [C26999; 120bp]
4016                 -         LSU_rRNA_archaea     RF02540    cm     1169     1287      120        2      -    5'    4 0.53   0.0   70.2   6.3e-19 !   [C26975; 120bp]
2277                 -         LSU_rRNA_archaea     RF02540    cm      829      952      123        1      - 5'&3'    4 0.50   0.0   70.1   6.8e-19 !   [C28443; 123bp]
956                  -         LSU_rRNA_archaea     RF02540    cm     1954     2075        3      123      +    3'    4 0.47   0.0   70.0   6.9e-19 !   [C28283; 123bp]
2126                 -         LSU_rRNA_archaea     RF02540    cm      130      258      123        1      - 5'&3'    4 0.44   0.0   70.0   7.2e-19 !   [C27869; 123bp]
1142                 -         LSU_rRNA_archaea     RF02540    cm     2301     2425      123        1      - 5'&3'    4 0.51   0.0   70.0   7.3e-19 !   [C27987; 123bp]
2461                 -         LSU_rRNA_archaea     RF02540    cm     1948     2071        1      123      + 5'&3'    4 0.46   0.0   70.0   7.4e-19 !   [C33547; 123bp]
712                  -         LSU_rRNA_archaea     RF02540    cm      148      270      123        1      - 5'&3'    4 0.46   0.0   69.9   7.4e-19 !   [C30943; 123bp]
3030                 -         LSU_rRNA_archaea     RF02540    cm     2523     2645      123        1      - 5'&3'    4 0.46   0.0   69.8     8e-19 !   [C33541; 123bp]
1633                 -         LSU_rRNA_archaea     RF02540    cm     1949     2068        5      123      +    3'    4 0.47   0.0   69.5     1e-18 !   [C27929; 123bp]
1096                 -         LSU_rRNA_archaea     RF02540    cm     2519     2641        1      123      + 5'&3'    4 0.46   0.0   69.3   1.2e-18 !   [C31883; 123bp]
1284                 -         LSU_rRNA_archaea     RF02540    cm     1963     2086        1      123      + 5'&3'    4 0.46   0.0   69.3   1.2e-18 !   [C30541; 123bp]
1680                 -         LSU_rRNA_archaea     RF02540    cm     2299     2423        1      123      + 5'&3'    4 0.51   0.0   68.9   1.7e-18 !   [C29233; 123bp]
1450                 -         LSU_rRNA_archaea     RF02540    cm     2649     2774      123        1      - 5'&3'    4 0.44   0.0   68.8   1.7e-18 !   [C27395; 123bp]
3175                 -         LSU_rRNA_archaea     RF02540    cm     1949     2065      116        1      -    3'    4 0.47   0.0   68.7   1.9e-18 !   [C32901; 123bp]
3914                 -         LSU_rRNA_archaea     RF02540    cm     1949     2072      123        1      - 5'&3'    4 0.46   0.0   68.6     2e-18 !   [C28751; 123bp]
2746                 -         LSU_rRNA_archaea     RF02540    cm      826      949      123        1      - 5'&3'    4 0.54   0.0   68.3   2.5e-18 !   [C30755; 123bp]
2739                 -         LSU_rRNA_archaea     RF02540    cm      770      893      123        1      - 5'&3'    4 0.51   0.0   68.2   2.6e-18 !   [C32913; 123bp]
1288                 -         LSU_rRNA_archaea     RF02540    cm      159      280      123        1      - 5'&3'    4 0.49   0.0   68.2   2.7e-18 !   [C31983; 123bp]
1363                 -         LSU_rRNA_archaea     RF02540    cm      836      959      123        1      - 5'&3'    4 0.50   0.0   68.1   2.9e-18 !   [C30905; 123bp]
678                  -         LSU_rRNA_archaea     RF02540    cm     1950     2073      123        1      - 5'&3'    4 0.46   0.0   68.1   2.9e-18 !   [C32461; 123bp]
2170                 -         LSU_rRNA_archaea     RF02540    cm     2649     2774      123        1      - 5'&3'    4 0.44   0.0   68.0   3.1e-18 !   [C27397; 123bp]
3770                 -         LSU_rRNA_archaea     RF02540    cm     1171     1287        1      117      +    5'    4 0.52   0.0   67.9   3.4e-18 !   [C33429; 123bp]
1504                 -         LSU_rRNA_archaea     RF02540    cm      835      958        1      123      + 5'&3'    4 0.50   0.0   67.5   4.4e-18 !   [C28927; 123bp]
2181                 -         LSU_rRNA_archaea     RF02540    cm     2515     2637      123        1      - 5'&3'    4 0.46   0.0   67.3   5.3e-18 !   [C28969; 123bp]
2808                 -         LSU_rRNA_archaea     RF02540    cm     2515     2637      123        1      - 5'&3'    4 0.46   0.0   67.1   5.9e-18 !   [C28971; 123bp]
3451                 -         LSU_rRNA_archaea     RF02540    cm     1930     2053        1      123      + 5'&3'    4 0.48   0.0   67.0   6.3e-18 !   [C33453; 123bp]
2910                 -         LSU_rRNA_archaea     RF02540    cm     2017     2140        1      123      + 5'&3'    4 0.45   0.0   66.8   7.4e-18 !   [C30561; 123bp]
3744                 -         LSU_rRNA_archaea     RF02540    cm      838      961        1      123      + 5'&3'    4 0.50   0.0   66.8   7.5e-18 !   [C31519; 123bp]
1341                 -         LSU_rRNA_archaea     RF02540    cm     2651     2776        1      123      + 5'&3'    4 0.43   0.0   66.4     1e-17 !   [C32995; 123bp]
1502                 -         LSU_rRNA_archaea     RF02540    cm      788      891      103        1      -    3'    4 0.53   0.0   66.4     1e-17 !   [C27995; 123bp]
2374                 -         LSU_rRNA_archaea     RF02540    cm      834      957        1      123      + 5'&3'    4 0.50   0.0   66.3   1.1e-17 !   [C29215; 123bp]
1783                 -         LSU_rRNA_archaea     RF02540    cm     2742     2860      120        1      -    3'    4 0.46   0.0   66.3   1.1e-17 !   [C32455; 123bp]
2642                 -         LSU_rRNA_archaea     RF02540    cm     1914     2036      123        1      - 5'&3'    4 0.46   0.0   66.1   1.3e-17 !   [C31379; 123bp]
891                  -         LSU_rRNA_archaea     RF02540    cm     2367     2491        1      123      + 5'&3'    4 0.44   0.0   66.0   1.4e-17 !   [C31213; 123bp]
2312                 -         LSU_rRNA_archaea     RF02540    cm     1175     1287        1      113      +    5'    4 0.52   0.0   65.5     2e-17 !   [C33297; 123bp]
2655                 -         LSU_rRNA_archaea     RF02540    cm     2354     2478      123        1      - 5'&3'    4 0.42   0.0   65.2   2.3e-17 !   [C31313; 123bp]
4026                 -         LSU_rRNA_archaea     RF02540    cm     1958     2078      120        1      - 5'&3'    4 0.47   0.0   65.2   2.4e-17 !   [C26977; 120bp]
1815                 -         LSU_rRNA_archaea     RF02540    cm     2511     2633      123        1      - 5'&3'    4 0.46   0.0   65.0   2.6e-17 !   [C29283; 123bp]
848                  -         LSU_rRNA_archaea     RF02540    cm     1146     1252       17      123      +    3'    4 0.51   0.0   64.9   2.9e-17 !   [C33639; 123bp]
2049                 -         LSU_rRNA_archaea     RF02540    cm      839      962      123        1      - 5'&3'    4 0.50   0.0   64.9     3e-17 !   [C33711; 123bp]
6021                 -         LSU_rRNA_archaea     RF02540    cm     2571     2678        1      108      + 5'&3'    4 0.44   0.0   64.9     3e-17 !   [C21134; 108bp]
3685                 -         LSU_rRNA_archaea     RF02540    cm     1907     2029        1      123      + 5'&3'    4 0.46   0.0   64.8   3.1e-17 !   [C31841; 123bp]
2994                 -         LSU_rRNA_archaea     RF02540    cm      151      273        1      123      + 5'&3'    4 0.45   0.0   64.8   3.1e-17 !   [C31709; 123bp]
6461                 -         LSU_rRNA_archaea     RF02540    cm     1974     2078      103        1      - 5'&3'    4 0.45   0.0   64.8   3.2e-17 !   [C20062; 103bp]
6430                 -         LSU_rRNA_archaea     RF02540    cm     1974     2078      103        1      - 5'&3'    4 0.47   0.0   64.6   3.5e-17 !   [C20140; 103bp]
733                  -         LSU_rRNA_archaea     RF02540    cm     1949     2062      113        1      -    3'    4 0.44   0.0   64.6   3.6e-17 !   [C29645; 123bp]
2002                 -         LSU_rRNA_archaea     RF02540    cm     2367     2491      123        1      - 5'&3'    4 0.43   0.0   64.6   3.7e-17 !   [C32457; 123bp]
1421                 -         LSU_rRNA_archaea     RF02540    cm     2367     2491      123        1      - 5'&3'    4 0.44   0.0   64.5   3.8e-17 !   [C32459; 123bp]
2487                 -         LSU_rRNA_archaea     RF02540    cm     2511     2633      123        1      - 5'&3'    4 0.46   0.0   64.5   3.8e-17 !   [C29285; 123bp]
3109                 -         LSU_rRNA_archaea     RF02540    cm      159      278      123        1      - 5'&3'    4 0.48   0.0   64.2   4.8e-17 !   [C29599; 123bp]
1632                 -         LSU_rRNA_archaea     RF02540    cm     1932     2055      123        1      - 5'&3'    4 0.46   0.0   64.1   5.4e-17 !   [C31633; 123bp]
3214                 -         LSU_rRNA_archaea     RF02540    cm     2365     2489        1      123      + 5'&3'    4 0.43   0.0   64.0   5.5e-17 !   [C27989; 123bp]
2668                 -         LSU_rRNA_archaea     RF02540    cm     1949     2065      116        1      -    3'    4 0.46   0.0   63.9     6e-17 !   [C32899; 123bp]
1692                 -         LSU_rRNA_archaea     RF02540    cm     1146     1248       21      123      +    3'    4 0.51   0.0   63.6   7.4e-17 !   [C30785; 123bp]
3596                 -         LSU_rRNA_archaea     RF02540    cm     1146     1248       21      123      +    3'    4 0.52   0.0   63.6   7.6e-17 !   [C30787; 123bp]
3521                 -         LSU_rRNA_archaea     RF02540    cm     1930     2053      123        1      - 5'&3'    4 0.48   0.0   63.4   8.7e-17 !   [C27437; 123bp]
6249                 -         LSU_rRNA_archaea     RF02540    cm     1974     2081      106        1      - 5'&3'    4 0.45   0.0   63.3   9.2e-17 !   [C20564; 106bp]
2855                 -         LSU_rRNA_archaea     RF02540    cm      405      525        1      122      +    5'    4 0.42   0.0   63.1   1.1e-16 !   [C31423; 123bp]
1910                 -         LSU_rRNA_archaea     RF02540    cm      116      245      123        1      - 5'&3'    4 0.44   0.0   63.0   1.1e-16 !   [C27819; 123bp]
2518                 -         LSU_rRNA_archaea     RF02540    cm      838      961        1      123      + 5'&3'    4 0.50   0.0   62.9   1.2e-16 !   [C31521; 123bp]
1727                 -         LSU_rRNA_archaea     RF02540    cm     2652     2777      123        1      - 5'&3'    4 0.43   0.0   62.9   1.3e-16 !   [C30061; 123bp]
123                  -         LSU_rRNA_archaea     RF02540    cm      162      244      802      884      +    no    1 0.27   4.3   61.8   2.9e-16 !   [scaffold202; 5738bp]
3257                 -         LSU_rRNA_archaea     RF02540    cm     2290     2414      123        1      - 5'&3'    4 0.54   0.0   61.8   2.9e-16 !   [C33241; 123bp]
3499                 -         LSU_rRNA_archaea     RF02540    cm     2751     2872        1      123      + 5'&3'    4 0.47   0.0   61.7     3e-16 !   [C30151; 123bp]
3555                 -         LSU_rRNA_archaea     RF02540    cm      405      525        1      122      +    5'    4 0.42   0.1   61.6   3.2e-16 !   [C31421; 123bp]
2062                 -         LSU_rRNA_archaea     RF02540    cm     2290     2414      123        1      - 5'&3'    4 0.54   0.0   61.6   3.3e-16 !   [C33243; 123bp]
1075                 -         LSU_rRNA_archaea     RF02540    cm      168      289      123        1      - 5'&3'    4 0.45   0.0   61.5   3.5e-16 !   [C32051; 123bp]
1552                 -         LSU_rRNA_archaea     RF02540    cm     2654     2779      123        1      - 5'&3'    4 0.44   0.0   61.5   3.6e-16 !   [C29797; 123bp]
5048                 -         LSU_rRNA_archaea     RF02540    cm      830      942        1      112      + 5'&3'    4 0.53   0.0   61.5   3.6e-16 !   [C24611; 112bp]
4945                 -         LSU_rRNA_archaea     RF02540    cm      830      942        1      112      + 5'&3'    4 0.54   0.0   61.4   3.7e-16 !   [C24613; 112bp]
801                  -         LSU_rRNA_archaea     RF02540    cm     2290     2414      123        1      - 5'&3'    4 0.54   0.0   61.3   3.9e-16 !   [C33239; 123bp]
2396                 -         LSU_rRNA_archaea     RF02540    cm     2030     2146      123        8      -    5'    4 0.49   0.0   61.3     4e-16 !   [C28421; 123bp]
2970                 -         LSU_rRNA_archaea     RF02540    cm     2381     2505        1      123      + 5'&3'    4 0.45   0.0   61.3   4.2e-16 !   [C32685; 123bp]
2613                 -         LSU_rRNA_archaea     RF02540    cm     2499     2619      123        1      - 5'&3'    4 0.46   0.0   61.2   4.4e-16 !   [C28973; 123bp]
2197                 -         LSU_rRNA_archaea     RF02540    cm     1910     2032        1      123      + 5'&3'    4 0.46   0.0   61.2   4.4e-16 !   [C32245; 123bp]
1105                 -         LSU_rRNA_archaea     RF02540    cm     2752     2872      123        2      -    5'    4 0.48   0.0   61.1   4.8e-16 !   [C30553; 123bp]
2852                 -         LSU_rRNA_archaea     RF02540    cm     2750     2871        1      123      + 5'&3'    4 0.47   0.0   61.0   4.9e-16 !   [C27687; 123bp]
1653                 -         LSU_rRNA_archaea     RF02540    cm     1146     1244       99        1      -    3'    4 0.53   0.0   61.0   5.1e-16 !   [C32331; 123bp]
2953                 -         LSU_rRNA_archaea     RF02540    cm     1949     2057       16      123      +    3'    4 0.48   0.0   61.0   5.1e-16 !   [C31997; 123bp]
3889                 -         LSU_rRNA_archaea     RF02540    cm     2381     2505        1      123      + 5'&3'    4 0.45   0.0   60.9   5.3e-16 !   [C32687; 123bp]
912                  -         LSU_rRNA_archaea     RF02540    cm      788      890       22      123      +    3'    4 0.51   0.0   60.6   6.9e-16 !   [C27981; 123bp]
1404                 -         LSU_rRNA_archaea     RF02540    cm     1923     2045      123        1      - 5'&3'    4 0.45   0.0   60.2   8.9e-16 !   [C30939; 123bp]
1167                 -         LSU_rRNA_archaea     RF02540    cm     2484     2605      123        1      - 5'&3'    4 0.46   0.0   59.9   1.1e-15 !   [C30105; 123bp]
2907                 -         LSU_rRNA_archaea     RF02540    cm     1906     2028        1      123      + 5'&3'    4 0.45   0.0   59.9   1.1e-15 !   [C31933; 123bp]
700                  -         LSU_rRNA_archaea     RF02540    cm     2376     2500      123        1      - 5'&3'    4 0.41   0.0   59.8   1.2e-15 !   [C30713; 123bp]
638                  -         LSU_rRNA_archaea     RF02540    cm     1370     1496        1      127      + 5'&3'    4 0.46   0.0   59.8   1.2e-15 !   [C33849; 127bp]
1585                 -         LSU_rRNA_archaea     RF02540    cm     2641     2766      123        1      - 5'&3'    4 0.45   0.0   59.8   1.2e-15 !   [C33693; 123bp]
3746                 -         LSU_rRNA_archaea     RF02540    cm     2373     2497        1      123      + 5'&3'    4 0.42   0.0   59.7   1.3e-15 !   [C29043; 123bp]
2730                 -         LSU_rRNA_archaea     RF02540    cm     1367     1489      123        1      - 5'&3'    4 0.48   0.0   59.6   1.4e-15 !   [C30889; 123bp]
1991                 -         LSU_rRNA_archaea     RF02540    cm     2501     2622      123        1      - 5'&3'    4 0.49   0.0   59.6   1.4e-15 !   [C31879; 123bp]
1397                 -         LSU_rRNA_archaea     RF02540    cm     2479     2600        1      123      + 5'&3'    4 0.48   0.0   59.6   1.4e-15 !   [C32435; 123bp]
3882                 -         LSU_rRNA_archaea     RF02540    cm     1911     2034      123        1      - 5'&3'    4 0.45   0.0   59.6   1.4e-15 !   [C27247; 123bp]
2117                 -         LSU_rRNA_archaea     RF02540    cm      407      525      123        4      -    5'    4 0.40   0.0   59.4   1.6e-15 !   [C29171; 123bp]
5975                 -         LSU_rRNA_archaea     RF02540    cm     2509     2616        1      108      + 5'&3'    4 0.47   0.0   59.4   1.7e-15 !   [C21104; 108bp]
3469                 -         LSU_rRNA_archaea     RF02540    cm     2641     2766      123        1      - 5'&3'    4 0.45   0.0   59.2   1.9e-15 !   [C29175; 123bp]
123                  -         LSU_rRNA_archaea     RF02540    cm      788      930     1160     1282      +    no    1 0.40   0.0   59.1     2e-15 !   [scaffold202; 5738bp]
1946                 -         LSU_rRNA_archaea     RF02540    cm     2502     2624      123        1      - 5'&3'    4 0.48   0.0   59.1   2.1e-15 !   [C29605; 123bp]
704                  -         LSU_rRNA_archaea     RF02540    cm     1911     2034      123        1      - 5'&3'    4 0.45   0.0   59.0   2.2e-15 !   [C27249; 123bp]
867                  -         LSU_rRNA_archaea     RF02540    cm     1370     1492        1      123      + 5'&3'    4 0.47   0.0   59.0   2.2e-15 !   [C30245; 123bp]
3754                 -         LSU_rRNA_archaea     RF02540    cm     2620     2718        1       99      +    5'    4 0.49   0.0   58.9   2.3e-15 !   [C27907; 123bp]
2828                 -         LSU_rRNA_archaea     RF02540    cm     2618     2718        1      101      +    5'    4 0.47   0.0   58.8   2.4e-15 !   [C32019; 123bp]
2696                 -         LSU_rRNA_archaea     RF02540    cm     1146     1244       99        1      -    3'    4 0.53   0.0   58.7   2.6e-15 !   [C32329; 123bp]
1030                 -         LSU_rRNA_archaea     RF02540    cm     1180     1287      123       16      -    5'    4 0.52   0.0   58.7   2.6e-15 !   [C32599; 123bp]
4535                 -         LSU_rRNA_archaea     RF02540    cm     2750     2861        1      113      + 5'&3'    4 0.49   0.0   58.6   2.9e-15 !   [C25349; 113bp]
1454                 -         LSU_rRNA_archaea     RF02540    cm      432      548        1      115      +    5'    4 0.38   1.3   58.4   3.4e-15 !   [C30309; 123bp]
2412                 -         LSU_rRNA_archaea     RF02540    cm      160      242       41      123      +    3'    4 0.51   0.0   58.4   3.5e-15 !   [C30671; 123bp]
792                  -         LSU_rRNA_archaea     RF02540    cm     1922     2044      123        1      - 5'&3'    4 0.46   0.0   58.3   3.6e-15 !   [C33423; 123bp]
1337                 -         LSU_rRNA_archaea     RF02540    cm     2491     2612        1      123      + 5'&3'    4 0.46   0.0   58.3   3.7e-15 !   [C29937; 123bp]
1174                 -         LSU_rRNA_archaea     RF02540    cm     1364     1486        1      123      + 5'&3'    4 0.46   0.0   58.2   3.7e-15 !   [C28735; 123bp]
3751                 -         LSU_rRNA_archaea     RF02540    cm     1911     2035        1      123      + 5'&3'    4 0.46   0.0   58.2   3.9e-15 !   [C29021; 123bp]
2573                 -         LSU_rRNA_archaea     RF02540    cm      399      516        1      119      +    5'    4 0.43   0.0   58.1     4e-15 !   [C28199; 123bp]
5614                 -         LSU_rRNA_archaea     RF02540    cm      788      887       12      110      +    3'    4 0.53   0.0   58.1   4.1e-15 !   [C22243; 110bp]
1603                 -         LSU_rRNA_archaea     RF02540    cm      788      889      101        1      -    3'    4 0.50   0.0   58.1   4.1e-15 !   [C33651; 123bp]
1496                 -         LSU_rRNA_archaea     RF02540    cm      788      884       96        1      -    3'    4 0.54   0.0   57.9   4.8e-15 !   [C33279; 123bp]
3300                 -         LSU_rRNA_archaea     RF02540    cm     1370     1492        1      123      + 5'&3'    4 0.46   0.0   57.8   5.3e-15 !   [C30243; 123bp]
6413                 -         LSU_rRNA_archaea     RF02540    cm     1974     2078      103        1      - 5'&3'    4 0.48   0.0   57.8   5.3e-15 !   [C20142; 103bp]
3522                 -         LSU_rRNA_archaea     RF02540    cm     2287     2411        1      123      + 5'&3'    4 0.53   0.0   57.6     6e-15 !   [C30255; 123bp]
2207                 -         LSU_rRNA_archaea     RF02540    cm     1904     2026      123        1      - 5'&3'    4 0.44   0.0   57.3   7.2e-15 !   [C31013; 123bp]
1236                 -         LSU_rRNA_archaea     RF02540    cm     2504     2626      123        1      - 5'&3'    4 0.48   0.0   57.3   7.2e-15 !   [C32855; 123bp]
2323                 -         LSU_rRNA_archaea     RF02540    cm      788      886       98        1      -    3'    4 0.53   0.0   57.3   7.4e-15 !   [C28869; 123bp]
2427                 -         LSU_rRNA_archaea     RF02540    cm      170      291        1      123      + 5'&3'    4 0.43   0.0   57.3   7.6e-15 !   [C31931; 123bp]
938                  -         LSU_rRNA_archaea     RF02540    cm     2742     2857        7      123      +    3'    4 0.48   0.0   57.1   8.8e-15 !   [C27385; 123bp]
3683                 -         LSU_rRNA_archaea     RF02540    cm      788      878       34      123      +    3'    4 0.53   0.0   57.0   9.4e-15 !   [C31985; 123bp]
1048                 -         LSU_rRNA_archaea     RF02540    cm      415      535      123        2      -    5'    4 0.40   0.5   56.9   9.7e-15 !   [C28837; 123bp]
3033                 -         LSU_rRNA_archaea     RF02540    cm     2664     2789      123        1      - 5'&3'    4 0.41   0.0   56.8   1.1e-14 !   [C28151; 123bp]
3259                 -         LSU_rRNA_archaea     RF02540    cm      432      548        1      115      +    5'    4 0.37   2.8   56.8   1.1e-14 !   [C30307; 123bp]
4841                 -         LSU_rRNA_archaea     RF02540    cm     1963     2076        1      112      + 5'&3'    4 0.45   0.0   56.7   1.1e-14 !   [C24001; 112bp]
1804                 -         LSU_rRNA_archaea     RF02540    cm     2463     2584        1      123      + 5'&3'    4 0.48   0.0   56.6   1.2e-14 !   [C33441; 123bp]
2332                 -         LSU_rRNA_archaea     RF02540    cm      432      548        1      115      +    5'    4 0.38   2.2   56.6   1.3e-14 !   [C30305; 123bp]
3608                 -         LSU_rRNA_archaea     RF02540    cm      399      516        1      118      +    5'    4 0.43   0.0   56.5   1.3e-14 !   [C27169; 123bp]
2310                 -         LSU_rRNA_archaea     RF02540    cm     1919     2041        1      123      + 5'&3'    4 0.47   0.0   56.4   1.4e-14 !   [C31099; 123bp]
979                  -         LSU_rRNA_archaea     RF02540    cm     2506     2628        1      123      + 5'&3'    4 0.46   0.0   56.4   1.5e-14 !   [C32107; 123bp]
2307                 -         LSU_rRNA_archaea     RF02540    cm      432      548        1      117      +    5'    4 0.38   1.2   56.3   1.6e-14 !   [C29593; 123bp]
1426                 -         LSU_rRNA_archaea     RF02540    cm     2289     2413      123        1      - 5'&3'    4 0.54   0.0   56.3   1.6e-14 !   [C28649; 123bp]
768                  -         LSU_rRNA_archaea     RF02540    cm     2463     2584        1      123      + 5'&3'    4 0.47   0.0   56.0     2e-14 !   [C33439; 123bp]
2030                 -         LSU_rRNA_archaea     RF02540    cm     2624     2718      123       29      -    5'    4 0.46   0.0   55.7   2.4e-14 !   [C29011; 123bp]
2806                 -         LSU_rRNA_archaea     RF02540    cm      432      548      123       10      -    5'    4 0.37   1.9   55.7   2.4e-14 !   [C29135; 123bp]
2551                 -         LSU_rRNA_archaea     RF02540    cm      788      880       32      123      +    3'    4 0.54   0.0   55.7   2.5e-14 !   [C31775; 123bp]
1369                 -         LSU_rRNA_archaea     RF02540    cm      432      548      123        4      -    5'    4 0.38   1.4   55.6   2.5e-14 !   [C27711; 123bp]
3232                 -         LSU_rRNA_archaea     RF02540    cm     1368     1490        1      123      + 5'&3'    4 0.48   0.0   55.6   2.6e-14 !   [C31825; 123bp]
1671                 -         LSU_rRNA_archaea     RF02540    cm     1359     1481        1      123      + 5'&3'    4 0.47   0.0   55.5   2.8e-14 !   [C32931; 123bp]
2722                 -         LSU_rRNA_archaea     RF02540    cm     2476     2597        1      123      + 5'&3'    4 0.47   0.0   55.5   2.8e-14 !   [C32679; 123bp]
974                  -         LSU_rRNA_archaea     RF02540    cm      442      548      123       15      -    5'    4 0.37   1.6   55.4   2.9e-14 !   [C30823; 123bp]
1155                 -         LSU_rRNA_archaea     RF02540    cm      432      548      123        5      -    5'    4 0.38   2.5   55.4     3e-14 !   [C33531; 123bp]
2189                 -         LSU_rRNA_archaea     RF02540    cm     2463     2584      123        1      - 5'&3'    4 0.48   0.0   55.2   3.4e-14 !   [C32961; 123bp]
785                  -         LSU_rRNA_archaea     RF02540    cm      427      547        1      123      + 5'&3'    4 0.37   2.2   55.2   3.5e-14 !   [C31799; 123bp]
1916                 -         LSU_rRNA_archaea     RF02540    cm     2032     2146      123       10      -    5'    4 0.47   0.0   55.0   3.9e-14 !   [C30297; 123bp]
4862                 -         LSU_rRNA_archaea     RF02540    cm     1963     2076        1      112      + 5'&3'    4 0.46   0.0   54.8   4.5e-14 !   [C24297; 112bp]
3337                 -         LSU_rRNA_archaea     RF02540    cm     2466     2587        1      123      + 5'&3'    4 0.47   0.0   54.8   4.6e-14 !   [C28277; 123bp]
3166                 -         LSU_rRNA_archaea     RF02540    cm     1900     2022        1      123      + 5'&3'    4 0.44   0.0   54.8   4.6e-14 !   [C31179; 123bp]
981                  -         LSU_rRNA_archaea     RF02540    cm     2387     2511      123        1      - 5'&3'    4 0.43   0.0   54.8   4.6e-14 !   [C32443; 123bp]
1844                 -         LSU_rRNA_archaea     RF02540    cm      444      548      123       17      -    5'    4 0.36   1.8   54.7   5.1e-14 !   [C30089; 123bp]
2647                 -         LSU_rRNA_archaea     RF02540    cm     2671     2795      123        1      - 5'&3'    4 0.42   0.0   54.6   5.4e-14 !   [C27387; 123bp]
2501                 -         LSU_rRNA_archaea     RF02540    cm     1354     1476      123        1      - 5'&3'    4 0.50   0.0   54.5   5.9e-14 !   [C30367; 123bp]
2166                 -         LSU_rRNA_archaea     RF02540    cm     1899     2021      123        1      - 5'&3'    4 0.43   0.0   54.4   6.3e-14 !   [C30965; 123bp]
1141                 -         LSU_rRNA_archaea     RF02540    cm     1207     1326        1      123      + 5'&3'    4 0.51   0.0   54.4   6.3e-14 !   [C29261; 123bp]
1889                 -         LSU_rRNA_archaea     RF02540    cm     2625     2718        1       94      +    5'    4 0.49   0.0   54.3   6.5e-14 !   [C28701; 123bp]
2785                 -         LSU_rRNA_archaea     RF02540    cm      854      982      123        1      - 5'&3'    4 0.49   0.0   54.3   6.5e-14 !   [C32823; 123bp]
3393                 -         LSU_rRNA_archaea     RF02540    cm      432      548      123        4      -    5'    4 0.38   2.8   54.3   6.8e-14 !   [C27709; 123bp]
3423                 -         LSU_rRNA_archaea     RF02540    cm      427      547        1      123      + 5'&3'    4 0.37   3.0   54.1   7.7e-14 !   [C31797; 123bp]
3943                 -         LSU_rRNA_archaea     RF02540    cm      432      548      123        4      -    5'    4 0.38   2.3   54.1   7.8e-14 !   [C27713; 123bp]
1755                 -         LSU_rRNA_archaea     RF02540    cm     2287     2411        1      123      + 5'&3'    4 0.53   0.0   54.1   7.8e-14 !   [C30257; 123bp]
1794                 -         LSU_rRNA_archaea     RF02540    cm      851      979      123        1      - 5'&3'    4 0.49   0.0   54.0   8.4e-14 !   [C29775; 123bp]
3310                 -         LSU_rRNA_archaea     RF02540    cm     1899     2021      123        1      - 5'&3'    4 0.43   0.0   53.9   9.1e-14 !   [C30967; 123bp]
1210                 -         LSU_rRNA_archaea     RF02540    cm     1117     1238        1      123      + 5'&3'    4 0.53   0.0   53.4   1.3e-13 !   [C27873; 123bp]
3318                 -         LSU_rRNA_archaea     RF02540    cm     2033     2146      123       11      -    5'    4 0.48   0.0   53.3   1.4e-13 !   [C28521; 123bp]
3217                 -         LSU_rRNA_archaea     RF02540    cm      417      535        1      120      +    5'    4 0.38   1.6   53.2   1.5e-13 !   [C31413; 123bp]
688                  -         LSU_rRNA_archaea     RF02540    cm     2742     2851      111        1      -    3'    4 0.47   0.0   53.2   1.5e-13 !   [C29607; 123bp]
3627                 -         LSU_rRNA_archaea     RF02540    cm     1381     1506        1      123      + 5'&3'    4 0.47   0.0   53.2   1.5e-13 !   [C30285; 123bp]
1445                 -         LSU_rRNA_archaea     RF02540    cm     2668     2792      123        1      - 5'&3'    4 0.41   0.0   53.0   1.7e-13 !   [C27789; 123bp]
2454                 -         LSU_rRNA_archaea     RF02540    cm      441      548        1      110      +    5'    4 0.35   2.0   53.0   1.7e-13 !   [C33559; 123bp]
3471                 -         LSU_rRNA_archaea     RF02540    cm     1380     1503        1      123      + 5'&3'    4 0.46   0.0   53.0   1.7e-13 !   [C32483; 123bp]
3167                 -         LSU_rRNA_archaea     RF02540    cm     2669     2794      123        1      - 5'&3'    4 0.42   0.0   52.9   1.8e-13 !   [C28453; 123bp]
